Stop Code,Stop Name_x,Latitude,Longitude,Status,FID,ASSETID,stop_lat,stop_lon,stop_name,Stop_Site,Street_Nam,AADT,AvgWeekday,AvgWeekd_1,Bus_Loadin,Concrete_R,County,Edge_of_Pa,Is_Active_,Is_Active1,Is_Activ_1,Is_Activ_2,Is_Activ_3,Agency,MicroTrans,Shared_Rou,Shelter_QT,Shelter_Ty,ShelterCol,Signal_Typ,Timepoint,ADA,Area_Light,BenchColor,Bike_Lane_,Bike_Parki,Bike_Par_1,Bus_Stop_L,Real_Time_,Seating_QT,Seating_Ty,Site_Shade,Trash_Can_,Waiting_Ar,Crosswalk_,Crosswalk1,Crosswal_1,Landing_Lo,Landing_Ma,Landing_Pa,Landing_Ty,Sidewalk_C,Sidewalk_1,Sidewalk_2,Sidewalk_O,Sidewalk_T,STATUS,LIFECYCLES,ENCROACHME,IMPROVEMEN,DOCUMENTFO,bus_stop_visible_2026,visibility_confidence_2026,stop_surface_2026,landing_type_2026,sidewalk_connection_2026,landing_pad,shelter_n_2026,bench_n_2026,trash_can_n_2026,street_lighting_2026,notes_2026,Stop Name_y,Avg Daily Total On,Avg Daily Total Off,Avg Daily Total Activity,Complaints_n_2026,ridership_score,complaint_score,amenity_score,condition_score,roadway_score,context_score,cleaning_priority_score,recommended_tier,recommended_frequency,recommended_cleaning_level,review_flag,abc_comparison
5387,Cornwallis Rd at Yorktown Ave (NB),35.93712,-78.8939,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.9,Concrete,Paved,No,,0.0,0.0,0.0,Yes,"A concrete landing pad is visible on the grass shoulder of the road. No bus stop sign, shelter, bench, or trash can is present. A street light is located on a utility pole nearby.",Cornwallis Rd at Yorktown Ave (NB),8.4,4.4,12.9,,1,0,0,1,0,0,2,Low,Monthly,Basic,,Needs current A/B/C category
5389,Constitution Dr at McKinley St,36.020903,-78.967099,Active,259.0,STOP10023,36.020903,-78.967099,   Constitution Dr at McKinley St,Far_Side,Constitution Dr,0.0,3.0,2.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,11B,0.0,, ,, ,No_SidewalkWithStrip,Fair, , ,0.0,,,No,0.0,,Trees_Good,,Good,Good,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,0.0,Yes,"The bus stop sign is clearly visible on a metal post next to the concrete sidewalk. There is a grass strip between the sidewalk and the curb, meaning passengers must cross grass to board.",Constitution Dr at McKinley St,2.1,1.2,3.3,,1,0,0,2,0,0,3,Low,Monthly,Basic,,Needs current A/B/C category
5391,Fayetteville Rd at Geneva Dr (NB),35.920996,-78.92844,Active,562.0,STOP10238,35.920996,-78.92844,   Fayetteville Rd at Geneva Dr (NB),Far_Side,Fayetteville,22000.0,3.0,13.0,Bus_Bay,No,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"5, 805",0.0,, ,Traffic_Ped_Crossing, ,Yes_Two_Doors,Fair, , ,0.0,,Pole,No,0.0,,Trees_Fair,,Fair,Fair,Within_100_FT,Marked,Curb_Height,Concrete,Yes_Two_Doors,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,0.0,No,The bus stop is marked by a vertical sign post located in the grass strip between the concrete sidewalk and the curb. A pedestrian is standing next to the stop.,Fayetteville Rd at Geneva Dr (NB),19.8,8.4,28.2,,2,0,0,2,2,0,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5394,Chapel Hill Rd at Palmer St (EB),35.987554,-78.925959,Active,210.0,STOP10239,35.987,78.925,   Chapel Hill Rd at Palmer St (EB),Far_Side,Chapel Hill Rd,7500.0,31.0,86.0,Other,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"10, 10 B",2.0,Current,Grey,Traffic_Ped_Crossing,GoDurham Timepoint,No_SidewalkAbuts,Fair,Black, ,2.0,U,Shelter,No,6.0,Bench_Permanent,,Concrete,Good,Good,Within_Sight,Marked,Curb_Height,Concrete,Other,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,2.0,2.0,1.0,Yes,The bus stop features two adjacent shelters on a continuous concrete sidewalk. Each shelter contains a bench. A trash can is located next to the left shelter. Street lighting is present on the adjacent utility pole.,Chapel Hill Rd at Palmer St (EB),106.2,32.2,138.4,11.0,4,4,7,0,0,0,15,High,Weekly,Enhanced,,Needs current A/B/C category
5396,Fayetteville St at Red Oak Ave (NB),35.9665062,-78.9046497,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fayetteville St at Elmira Ave (NB),11.5,13.9,25.4,,2,0,0,0,0,0,2,Low,Monthly,Basic,,Needs current A/B/C category
5397,Fayetteville St at Dunbar St,35.9788622,-78.9000368,Active,596.0,STOP10241,35.978879,-78.900065,   Fayetteville St at Dunbar St,Near_Side,Fayetteville,12500.0,14.0,20.0,Traffic_Lane,No,Durham,Other,Yes, ,No, , ,GoDurham, ,5,0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Good,Blue, ,0.0,,,No,2.0,Other,,Plastic,Fair,Fair,Within_Sight,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Poor,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,Fayetteville St at Dunbar St,21.1,17.8,38.9,1.0,3,2,1,1,0,0,7,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5399,Club Blvd at Duke St,36.0170147,-78.9066192,Active,252.0,STOP10242,36.017019,-78.906174,   Club Blvd at Duke St,Midblock,W Club,9100.0,14.0,2.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,1,0.0,, ,Traffic_Ped_Crossing, ,Yes_Two_Doors,Good,Blue, ,0.0,,Pole,No,2.0,Simme_Seat_Grab_Bar,Trees_Fair,Metal,Fair,Fair,Within_Sight,Marked,Curb_Height,Concrete,Yes_Two_Doors,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,0.0,0.0,2.0,Yes,"The bus stop is marked by a sign on a pole equipped with a solar light. The boarding area is a concrete sidewalk with two trash cans (one black, one silver) and a bike rack.",Club Blvd at Duke St,3.4,10.6,14.0,,1,0,4,0,0,0,5,Low,Monthly,Basic,,Needs current A/B/C category
5400,Roxboro Rd at Channing Ave (NB),36.031871,-78.890738,Active,1417.0,STOP10243,36.031871,-78.890738,   Roxboro Rd at Channing Ave (NB),Far_Side,Roxboro,26500.0,0.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,4,0.0,, ,, ,No_SingleDoor,Poor, , ,0.0,,Pole,No,0.0,,,,,,Within_100_FT,Unmarked,Curb_Ramp,Concrete,Yes_Single_Door,Paved,Fair,Both,Both,,Concrete, ,, , , ,Yes,0.9,Concrete,Unpaved_Grass_Strip_And_Sidewalk,Yes,,0.0,0.0,0.0,No,The bus stop sign is visible under the tree in the center view. The boarding area consists of a concrete sidewalk separated from the curb by a grass strip.,Roxboro Rd at Channing Ave (NB),0.3,1.2,1.5,,1,0,0,1,2,0,4,Low,Monthly,Basic,,Needs current A/B/C category
5401,Sima Ave at Lawson St,35.9748,-78.891088,Active,1516.0,STOP10244,35.9748,-78.891088,   Sima Ave at Lawson St,Near_Side,Sima Ave,0.0,0.0,5.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,8,1.0,Techline,Black,, ,No_SidewalkAbuts,Fair,Black, ,0.0,,Pole,No,3.0,Bench_Permanent,,Concrete,,,Within_100_FT,Unmarked,Curb_Height,Concrete,Other,Paved,Poor,One,One,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,1.0,1.0,1.0,Yes,"The bus stop features a shelter with an integrated bench, a trash can, and a bus stop sign. The boarding area is paved concrete and connects directly to the sidewalk.",Sima Ave at Lawson St,3.1,0.1,3.2,,1,0,7,0,0,0,8,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5403,Carver St at Patrick Henry Dr (WB),36.040706,-78.897767,Active,176.0,STOP10795,36.040706,-78.897767,   Carver St at Patrick Henry Dr (WB),Near_Side,Carver,10500.0,0.0,0.0,Other,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"9, 9A",1.0,Techline,Black,Traffic_Ped_Crossing, ,No_SingleDoor,Good,Black, ,0.0,,,No,3.0,Bench_Permanent,,Concrete,Good,Good,Within_Sight,Marked,Curb_Height,Concrete,Yes_Single_Door,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,One_door,1.0,1.0,1.0,No,"The bus stop features a standard shelter with an internal bench, a trash can, and a concrete pad connected to the sidewalk network.",Carver St at Patrick Henry Dr (WB),5.9,9.0,14.9,1.0,2,2,7,0,0,0,11,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5404,E Main St at Hyde Park Ave (WB),35.9854,-78.88207,Active,507.0,STOP10245,35.9854,-78.88207,   E Main St at Hyde Park Ave (WB),Far_Side,E Main,4900.0,3.0,10.0,Traffic_Lane,No,Durham,Granite_Curb,Yes, ,No, , ,GoDurham, ,"2, 3C",0.0,, ,, ,No_SidewalkWithStrip,Poor, , ,0.0,,Pole,No,0.0,,,Concrete,Poor,Poor,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Poor,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,0.0,0.0,2.0,Yes,"The bus stop is visible on the concrete sidewalk, featuring a sign post, two trash cans (one brown concrete bin and one black metal bin), and a bike rack.",E Main St at Hyde Park Ave (WB),11.7,3.1,14.8,,2,0,3,0,0,0,5,Low,Monthly,Basic,,Needs current A/B/C category
5407,Tom Wilkinson Rd at Roxboro Rd,36.0950678,-78.9116757,Active,1600.0,STOP10246,36.09506561,-78.91167574,   Tom Wilkinson Rd at Roxboro Rd,Midblock,Tom Wilkinson,1400.0,11.0,13.0,Traffic_Lane,No,Durham,Open_Section,Yes, ,No, , ,GoDurham, ,"9B, NHS",0.0,, ,"Ped_Only (RRFB, HAWK, Conventional_Ped_Signal)",GoDurham Timepoint,,Poor, , ,0.0,,,No,0.0,,Trees_Fair,Concrete,Good,Good,Within_100_FT,Marked,Below_Grade,Gravel,,Unpaved,,,,,, ,, , , ,Yes,1.0,Grass,Unpaved,No,,0.0,0.0,1.0,No,"The bus stop sign is clearly visible on a metal post next to a utility pole. A public trash can is present at the stop. A single movable plastic chair is located in the grass behind the trash can, but there is no permanent bench. There is no sidewalk or paved landing pad.",Tom Wilkinson Rd at Roxboro Rd,22.8,12.5,35.3,,2,0,3,4,0,0,9,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5409,Clayton Rd at Chandler Rd,35.995997,-78.830995,Active,247.0,STOP10247,35.995997,-78.830995,   Clayton Rd at Chandler Rd,Near_Side,Clayton,4600.0,2.0,2.0,Other,No,Durham,Open_Section,Yes, ,No, , ,GoDurham, ,3B,0.0,, ,, ,,Fair, , ,0.0,,,No,0.0,,,,,,,,Level_with_Roadway,Grass,,Unpaved,,,,,, ,, , , ,,,,,,,,,,,,Clayton Rd at Chandler Rd,3.8,2.0,5.8,,1,0,0,2,0,0,3,Low,Monthly,Basic,,Needs current A/B/C category
5412,Hinson Dr at Waring St,36.030322,-78.87764,Active,845.0,STOP10837,36.030322,-78.87764,   Hinson Dr at Waring St,Midblock,Hinson,0.0,1.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,9 9A 9B,1.0,Current,Grey,, ,Yes_Two_Doors,Fair,Black, ,2.0,U,Shelter,No,2.0,Bench_Permanent,,Other,,,,,Curb_Height,Concrete,Yes_Two_Doors,Paved,Fair,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,1.0,1.0,2.0,No,"The bus stop features a shelter with an integrated bench, situated on a large concrete landing pad connected to the sidewalk. There are two trash cans present: a black metal slat style can to the left of the shelter and a concrete receptacle to the right.",Hinson Dr at Waring St,2.6,4.1,6.7,,1,0,7,0,0,0,8,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5415,Duke St at North Duke Crossing,36.049902,-78.905608,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.9,Grass,Unpaved,No,,0.0,0.0,0.0,Yes,The bus stop is marked by a sign on a metal post located in the grass strip between the road curb and the parking lot. There is no sidewalk or paved landing pad at this location.,Duke St at North Duke Crossing,23.5,91.9,115.3,1.0,4,2,0,4,0,0,10,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5416,Glenbrook Dr at Dubonnet Pl (NB),36.02645,-78.87767,Active,655.0,STOP10835,36.02645,-78.87767,   Glenbrook Dr at Dubonnet Pl (NB),Midblock,Glenbrook,0.0,2.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,9 9A 9B,0.0,, ,, ,,, , ,0.0,,,No,0.0,,Trees_Fair,,,,,,Curb_Height,Grass,,Unpaved,,,,,, ,, , , ,,,,,,,,,,,,Glenbrook Dr at Dubonnet Pl (NB),2.0,7.8,9.8,,1,0,0,2,0,0,3,Low,Monthly,Basic,,Needs current A/B/C category
5419,Holloway St at Chandler Rd,35.985884,-78.840216,Active,855.0,STOP10249,35.985884,-78.840216,   Holloway St at Chandler Rd,Near_Side,Holloway,15500.0,2.0,2.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,3B,0.0,, ,, ,,Fair, , ,0.0,,,No,0.0,,,,,,,,Curb_Height,Grass,,Unpaved,,,,,, ,, , , ,,,,,,,,,,,,Holloway St at Chandler Rd,0.8,1.0,1.8,,1,0,0,2,1,0,4,Low,Monthly,Basic,,Needs current A/B/C category
5420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E Main St at Corcoran St (WB),0.0,0.0,0.0,,0,0,0,0,0,0,0,Low,Monthly,Basic,,Needs current A/B/C category
5423,Enterprise St at Roxboro St (EB),35.9835527,-78.9031408,Active,518.0,STOP10715,35.98357,-78.903452,   Enterprise St at Roxboro St (EB),Near_Side,Enterprise,0.0,4.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,7,0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkAbuts,Fair, , ,0.0,,Pole,No,0.0,,,,Fair,Fair,Within_100_FT,Marked,Curb_Height,Concrete,Other,Paved,Poor,Both,Both,Mud,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,0.0,0.0,0.0,Yes,The bus stop sign is mounted on a wooden utility pole next to a continuous concrete sidewalk near the intersection.,Enterprise St at Roxboro St (EB),0.8,4.0,4.8,,1,0,0,0,0,0,1,Low,Monthly,Basic,,Needs current A/B/C category
5424,S Roxboro St at Bond St,35.980161,-78.905344,Active,1556.0,STOP10717,35.980161,-78.905344,   S Roxboro St at Bond St,Far_Side,Roxboro,5900.0,7.0,1.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"7, 8",0.0,, ,, ,,Fair, , ,0.0,,,No,0.0,,,,Good,Good,Within_Sight,Marked,Curb_Height,Dirt,,Unpaved,,,,,, ,, , , ,Yes,1.0,Grass,Unpaved,No,,0.0,0.0,0.0,No,"The bus stop is marked by a sign on a metal post located on a grassy shoulder. There is no sidewalk, paved landing pad, or other amenities present at this location.",S Roxboro St at Bond St,2.7,9.8,12.5,,1,0,0,4,0,0,5,Low,Monthly,Basic,,Needs current A/B/C category
5429,Hillsborough Rd at US 15-501 (EB),36.021548,-78.951737,Active,798.0,STOP10252,36.02154818,-78.95173744,Hillsborough Rd at US 15-501 SB (Wendy's),Midblock,Hillsborough,26000.0,2.0,8.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,11,0.0,, ,Traffic_Ped_Crossing,GoDurham Timepoint,No_SidewalkWithStrip,Fair, , ,0.0,,,No,0.0,,,,Fair,Fair,Within_Sight,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,,Concrete, ,, , , ,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,0.0,Yes,"The bus stop is located along a sidewalk separated from the curb by a grass strip. No landing pad, shelter, bench, or trash can is present.",Hillsborough Rd at US 15-501 SB (Wendys,7.3,2.0,9.2,,1,0,0,3,2,0,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5430,Riddle Rd at Kirby St (SB),35.955723,-78.893212,Active,1391.0,STOP10253,35.955723,-78.893212,   Riddle Rd at Kirby St (SB),Far_Side,Riddle,10450.0,0.0,1.0,Traffic_Lane,No,Durham,Open_Section,Yes, ,No, , ,GoDurham, ,"12, 12B",0.0,, ,Traffic_Only, ,,Poor, , ,0.0,,,No,0.0,,,,,,,,Level_with_Roadway,Grass,,Unpaved,,,,,, ,, , , ,Yes,1.0,Grass,Unpaved,No,,0.0,0.0,0.0,No,"The bus stop sign is clearly visible on a metal post on the grass shoulder in the back_right view. There is no sidewalk, paved landing pad, or other amenities present at this location.",Riddle Rd at Kirby St (SB),2.2,2.3,4.6,1.0,1,2,0,4,0,0,7,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5431,Riddle Rd at NC 55 (WB),35.9561702,-78.8898354,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,Low,Monthly,Basic,,Needs current A/B/C category
5432,Riddle Rd at NC 55 (EB),35.9560965,-78.8893901,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,Low,Monthly,Basic,,Needs current A/B/C category
5433,Main St at Morgan St (WB),36.0015485,-78.9115431,Active,1013.0,STOP10254,36.0016,-78.9117,   Main St at Morgan St (WB),Far_Side,Main,7500.0,10.0,7.0,Traffic_Lane,No,Durham,Rolled_Curb,Yes, ,No, , ,GoDurham, ,"11, 11B",1.0,Current,Black,Traffic_Ped_Crossing, ,Yes_Sidewalk,Good,Black, ,0.0,,Shelter,No,5.0,Bench_Permanent,,Metal,Fair,Fair,Within_100_FT,Marked,Curb_Height,Brick_and_Concrete,Other,Paved,Good,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,Main St at Morgan St (WB),19.8,11.2,31.0,,2,0,4,0,0,0,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5434,Milton Rd at Long Cresent Dr,36.091973,-78.91416,Active,1080.0,STOP10255,36.091973,-78.91416,   Milton Rd at Long Cresent Dr,Far_Side,Milton,6500.0,3.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,9B,0.0,, ,, ,No_SidewalkWithStrip,Fair, , ,0.0,,,No,0.0,,,,,,,,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Fair,One,One,,Concrete, ,, , , ,Yes,0.8,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,0.0,Yes,"The bus stop sign is visible on the grass strip between the sidewalk and the curb near the intersection with Long Cresent Dr, best seen in the right and back_right views.",Milton Rd at Long Cresent Dr,0.3,2.6,3.0,2.0,1,3,0,3,0,0,7,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5435,NC 55 at Alston Ave (NCCU),35.9706648,-78.8947985,Active,1196.0,STOP10256,35.970693,-78.894832,NC 55 at Alston Ave (NCCU),Near_Side,NC 55,22000.0,7.0,12.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"12, 12B",1.0,Current,Grey,Traffic_Ped_Crossing, ,Yes_Two_Doors,Good,Black, ,0.0,,Shelter,No,2.0,Bench_Permanent,,Metal,Poor,Poor,Within_100_FT,Marked,Curb_Height,Concrete,Yes_Two_Doors,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,1.0,1.0,1.0,Yes,"The bus stop features a shelter with an integrated bench, a trash can, and is situated on a continuous concrete sidewalk providing excellent accessibility.",NC 55 at Alston Ave (NCCU),25.2,10.7,35.9,,3,0,7,0,2,0,12,High,Weekly,Enhanced,,Needs current A/B/C category
5436,Meriwether Dr at Pickwick Trail (SB),36.041878,-78.889984,Active,1064.0,STOP10863,36.041878,-78.889984,   Meriwether Dr at Pickwick Trail (SB),Far_Side,Meriweather,0.0,1.0,3.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"9, 9A",1.0,Techline,Black,,GoDurham Timepoint,Yes_Single_Door,,Black, ,0.0,,Pole,No,3.0,Bench_Permanent,,Concrete,Good,Good,Within_100_FT,Marked,Curb_Height,Concrete,Yes_Single_Door,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,Yes,,1.0,1.0,0.0,Yes,"The bus stop features a shelter with an integrated bench on a concrete pad connected to the sidewalk. There is a grass strip between the sidewalk and the curb, and a street light is located directly adjacent to the shelter.",Meriwether Dr at Pickwick Trail (SB),21.6,3.3,24.9,1.0,2,2,4,1,0,0,9,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5438,Duke St at Corporation St,36.002322,-78.90632,Active,356.0,STOP10257,36.00232175,-78.9063202,   Duke St at Corporation St,Near_Side,Duke,8900.0,3.0,2.0,Traffic_Lane,No,Durham,Rolled_Curb,Yes, ,No, , ,GoDurham, ,1,0.0,, ,"Ped_Only (RRFB, HAWK, Conventional_Ped_Signal)", ,,, , ,0.0,,,No,0.0,,,,Fair,Fair,Within_100_FT,Marked,Curb_Height,Gravel,,Unpaved,Good,One,Both,Guy_Wire,Concrete, ,, , , ,,,,,,,,,,,,Duke St at Corporation St,2.1,4.5,6.7,,1,0,0,2,0,0,3,Low,Monthly,Basic,,Needs current A/B/C category
5439,Gregson St at Lamond Ave,36.00233,-78.90835,Active,728.0,STOP10258,36.00233,-78.90835,   Gregson St at Lamond Ave,Near_Side,Gregson,9400.0,2.0,1.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,1,0.0,, ,"Ped_Only (RRFB, HAWK, Conventional_Ped_Signal)", ,No_SidewalkWithStrip,Poor, , ,0.0,,,No,0.0,,,,Good,Good,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,0.0,No,"The bus stop is identified by a yellow sign with a blue ID tag on its post, situated in the grass strip between the curb and the sidewalk.",Gregson St at Lamond Ave,2.1,4.5,6.6,,1,0,0,3,0,0,4,Low,Monthly,Basic,,Needs current A/B/C category
5444,Dowd St at Roxboro Rd (EB),36.000292,-78.893429,Active,348.0,STOP10768,36.000292,-78.893429,   Dowd St at Roxboro Rd (EB),Far_Side,Dowd,0.0,1.0,0.0,Traffic_Lane,No,Durham,Granite_Curb,Yes, ,No, , ,GoDurham, ,"9, 9A, 9B",0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Good,Brown, ,0.0,,Pole,No,3.0,Bench_Permanent,,Concrete,Good,Good,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Fair,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,1.0,No,The bus stop sign is located in a grass strip between the concrete sidewalk and the curb. A trash can is present next to the sidewalk.,Dowd St at Roxboro Rd (EB),6.9,28.1,35.1,,2,0,4,2,0,0,8,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5445,Raynor St at The Village (WB),35.994284,-78.869756,Active,1370.0,STOP10260,35.994284,78.869756,   Raynor St at The Village (WB),Midblock,Raynor,0.0,58.0,135.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"3, 3B, 3C",1.0,Techline,Black,Traffic_Ped_Crossing,GoDurham Timepoint,No_SidewalkAbuts,Fair,Black, ,0.0,,Shelter,Yes,3.0,Bench_Permanent,Trees_Fair,Concrete,Fair,Fair,Within_Sight,Marked,Curb_Height,Concrete,Other,Paved,Fair,Both,One,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,1.0,0.0,1.0,No,"The bus stop features a shelter, a trash can, and a bus stop sign. The boarding area is on a paved concrete sidewalk.",Raynor St at The Village (WB),247.4,135.9,383.3,,4,0,7,0,0,0,11,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5446,Guess Rd at Ellen St,36.03985,-78.92963,Active,739.0,STOP10261,36.03985,-78.92963,   Guess Rd at Ellen St,Near_Side,Guess,21500.0,2.0,2.0,Other,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,1,0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Good, , ,0.0,,,No,0.0,,,,Fair,Fair,Not_Convenient,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Fair,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,Guess Rd at Ellen St,2.7,0.8,3.4,,1,0,0,1,1,0,3,Low,Monthly,Basic,,Needs current A/B/C category
5447,Chapel Hill Rd at Palmer St (WB),35.988573,-78.925313,Active,211.0,STOP10262,35.988573,-78.925313,   Chapel Hill Rd at Palmer St (WB),Far_Side,Chapel Hill Rd,7500.0,51.0,6.0,Other,No,Durham,Granite_Curb,Yes, ,No, , ,GoDurham, ,"10, 10B",0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkAbuts,Poor,Black, ,0.0,,,No,3.0,Bench_Permanent,,,Good,Good,Within_Sight,Marked,Curb_Height,Concrete,Other,Paved,Poor,Both,One,Other,Concrete, ,, , , ,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,Yes,,0.0,0.0,0.0,No,"The bus stop sign is clearly visible on the left side of the front_left image, positioned behind the concrete sidewalk. There is a grass strip between the sidewalk and the curb.",Chapel Hill Rd at Palmer St (WB),9.1,61.6,70.8,,4,0,1,1,0,0,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
